branchname,branchcode,,
Atchison Public Library,ATCHISON,8/15/2008,1
Baldwin City Public Library,BALDWIN,2/11/2009,
Basehor Community Library,BASEHOR,8/15/2008,2
Bern Community Library,BERN,11/17/2009,
Bonner Springs City Library,BONNERSPGS,8/15/2008,3
Burlingame Community Library,BURLINGAME,12/17/2011,
Carbondale City Library,CARBONDALE,2/12/2009,
Centralia Community Library,CENTRALIA,8/15/2008,4
Corning City Library,CORNING,,
Digital Content,DIGITAL,,
Doniphan County Library - Elwood,DONIELWD,,
Doniphan County Library - Highland,DONIHIGH,,
Doniphan County Library - Troy,DONITROY,,
Doniphan County Library - Wathena,DONIWATH,,
Effingham Community Library,EFFINGHAM,,
Eudora Community Library,EUDORA,,
"Everest, Barnes Reading Room",EVEREST,,
"Hiawatha, Morrill Public Library",HIAWATHA,,
Highland Community College,HIGH_CC,1/12/2019,
"Holton, Beck-Bookman Library",HOLTON,,
Horton Public Library,HORTON,,
Lansing Community Library,LANSING,9/6/2014,
Leavenworth Public Library,LEAVENWRTH,,
Linwood Community Library,LINWOOD,,
Louisburg Library,LOUISBURG,,
Lyndon Carnegie Library,LYNDON,,
McLouth Public Library,MCLOUTH,,
Meriden-Ozawkie Public Library,MERIDEN,,
Northeast Kansas Library System,NEKLS,,
Nortonville Public Library,NORTONVLLE,,
Osage City Library,OSAGECITY,,
Osawatomie Public Library,OSAWATOMIE,,
Oskaloosa Public Library,OSKALOOSA,,
Ottawa Library,OTTAWA,11/26/2008,
Overbrook Public Library,OVERBROOK,,
Paola Free Library,PAOLA,8/26/2016,
Perry-Lecompton Community Library,PERRY,,
Prairie Hills Schools - Axtell Public School,PHAXTELL,4/13/2013,
Prairie Hills Schools - Sabetha Elementary School,PHSES,4/13/2013,
Prairie Hills Schools - Sabetha High School,PHSHS,4/13/2013,
Prairie Hills Schools - Sabetha Middle School,PHSMS,4/13/2013,
Prairie Hills Schools - Wetmore Academic Center,PHWAC,4/13/2013,
Pomona Community Library,POMONA,,
Richmond Public Library,RICHMOND,,
Rossville Community Library,ROSSVILLE,,
"Sabetha, Mary Cotton Library",SABETHA,,
Seneca Free Library,SENECA,,
Silver Lake Library,SILVERLAKE,,
Tonganoxie Public Library,TONGANOXIE,,
"Valley Falls, Delaware Township Library",VALLEYFALL,,
Wellsville City Library,WELLSVILLE,,
Wetmore Public Library,WETMORE,,
Williamsburg Community Library,WILLIAMSBG,,
Winchester Public Library,WINCHESTER,8/15/2008,
